country_id,country_name,country_code,region,income_group
75,Euro area,EMU,Aggregates,Aggregates
76,Europe & Central Asia,ECS,Aggregates,Aggregates
77,Europe & Central Asia (excluding high income),ECA,Aggregates,Aggregates
78,Europe & Central Asia (IDA & IBRD countries),TEC,Aggregates,Aggregates
79,European Union,EUU,Aggregates,Aggregates
80,Faroe Islands,FRO,Europe & Central Asia,High income
81,Fiji,FJI,East Asia & Pacific,Upper middle income
82,Finland,FIN,Europe & Central Asia,High income
83,Fragile and conflict affected situations,FCS,Aggregates,Aggregates
84,France,FRA,Europe & Central Asia,High income
85,French Polynesia,PYF,East Asia & Pacific,High income
86,Gabon,GAB,Sub-Saharan Africa ,Upper middle income
87,"Gambia, The",GMB,Sub-Saharan Africa ,Low income
88,Georgia,GEO,Europe & Central Asia,Upper middle income
89,Germany,DEU,Europe & Central Asia,High income
90,Ghana,GHA,Sub-Saharan Africa ,Lower middle income
91,Gibraltar,GIB,Europe & Central Asia,High income
92,Greece,GRC,Europe & Central Asia,High income
93,Greenland,GRL,Europe & Central Asia,High income
94,Grenada,GRD,Latin America & Caribbean ,Upper middle income
95,Guam,GUM,East Asia & Pacific,High income
96,Guatemala,GTM,Latin America & Caribbean ,Upper middle income
97,Guinea,GIN,Sub-Saharan Africa ,Lower middle income
98,Guinea-Bissau,GNB,Sub-Saharan Africa ,Low income
99,Guyana,GUY,Latin America & Caribbean ,High income
100,Haiti,HTI,Latin America & Caribbean ,Lower middle income
101,Heavily indebted poor countries (HIPC),HPC,Aggregates,Aggregates
102,High income,HIC,Aggregates,Aggregates
103,Honduras,HND,Latin America & Caribbean ,Lower middle income
104,"Hong Kong SAR, China",HKG,East Asia & Pacific,High income
105,Hungary,HUN,Europe & Central Asia,High income
106,IBRD only,IBD,Aggregates,Aggregates
107,Iceland,ISL,Europe & Central Asia,High income
108,IDA & IBRD total,IBT,Aggregates,Aggregates
109,IDA blend,IDB,Aggregates,Aggregates
110,IDA only,IDX,Aggregates,Aggregates
111,IDA total,IDA,Aggregates,Aggregates
112,India,IND,South Asia,Lower middle income
113,Indonesia,IDN,East Asia & Pacific,Upper middle income
114,"Iran, Islamic Rep.",IRN,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income
115,Iraq,IRQ,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income
116,Ireland,IRL,Europe & Central Asia,High income
117,Isle of Man,IMN,Europe & Central Asia,High income
118,Israel,ISR,"Middle East, North Africa, Afghanistan & Pakistan",High income
119,Italy,ITA,Europe & Central Asia,High income
120,Jamaica,JAM,Latin America & Caribbean ,Upper middle income
121,Japan,JPN,East Asia & Pacific,High income
122,Jordan,JOR,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income
123,Kazakhstan,KAZ,Europe & Central Asia,Upper middle income
124,Kenya,KEN,Sub-Saharan Africa ,Lower middle income
125,Kiribati,KIR,East Asia & Pacific,Lower middle income
126,"Korea, Dem. People's Rep.",PRK,East Asia & Pacific,Low income
127,"Korea, Rep.",KOR,East Asia & Pacific,High income
128,Kosovo,XKX,Europe & Central Asia,Upper middle income
129,Kuwait,KWT,"Middle East, North Africa, Afghanistan & Pakistan",High income
130,Kyrgyz Republic,KGZ,Europe & Central Asia,Lower middle income
131,Lao PDR,LAO,East Asia & Pacific,Lower middle income
132,Late-demographic dividend,LTE,Aggregates,Aggregates
133,Latin America & Caribbean,LCN,,
134,Latin America & Caribbean (excluding high income),LAC,Aggregates,Aggregates
135,Latin America & the Caribbean (IDA & IBRD countries),TLA,Aggregates,Aggregates
136,Latvia,LVA,Europe & Central Asia,High income
137,Least developed countries: UN classification,LDC,Aggregates,Aggregates
138,Lebanon,LBN,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income
139,Lesotho,LSO,Sub-Saharan Africa ,Lower middle income
140,Liberia,LBR,Sub-Saharan Africa ,Low income
141,Libya,LBY,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income
142,Liechtenstein,LIE,Europe & Central Asia,High income
143,Lithuania,LTU,Europe & Central Asia,High income
144,Low & middle income,LMY,Aggregates,Aggregates
145,Low income,LIC,Aggregates,Aggregates
146,Lower middle income,LMC,Aggregates,Aggregates
147,Luxembourg,LUX,Europe & Central Asia,High income
148,"Macao SAR, China",MAC,East Asia & Pacific,High income
149,Madagascar,MDG,Sub-Saharan Africa ,Low income
150,Malawi,MWI,Sub-Saharan Africa ,Low income
151,Malaysia,MYS,East Asia & Pacific,Upper middle income
152,Maldives,MDV,South Asia,Upper middle income
153,Mali,MLI,Sub-Saharan Africa ,Low income
154,Malta,MLT,"Middle East, North Africa, Afghanistan & Pakistan",High income
